indicator,pds_target,pattern,median_mape,n
GHG,20,random,13.85,1204
GHG,20,flow,13.85,893
GHG,20,cluster,13.85,1255
GHG,40,random,11.22,297
GHG,40,flow,10.82,201
GHG,40,cluster,10.89,256
GHG,60,random,7.35,215
GHG,60,flow,7.37,197
GHG,60,cluster,7.73,178
GHG,80,random,3.96,125
GHG,80,flow,3.27,190
GHG,80,cluster,4.83,176
ACG,20,random,21.02,723
ACG,20,flow,22.55,688
ACG,20,cluster,19.04,579
ACG,40,random,16.12,260
ACG,40,flow,15.53,189
ACG,40,cluster,9.8,267
ACG,60,random,12.27,154
ACG,60,flow,9.16,151
ACG,60,cluster,8.26,125
ACG,80,random,4.35,62
ACG,80,flow,6.99,136
ACG,80,cluster,4.4,89
O3PR,20,random,18.56,663
O3PR,20,flow,18.56,575
O3PR,20,cluster,18.56,894
O3PR,40,random,13.71,367
O3PR,40,flow,14.69,232
O3PR,40,cluster,12.41,362
O3PR,60,random,9.99,230
O3PR,60,flow,7.39,198
O3PR,60,cluster,9.6,173
O3PR,80,random,2.98,123
O3PR,80,flow,4.73,167
O3PR,80,cluster,2.45,125
PM2_5,20,random,18.85,1384
PM2_5,20,flow,18.85,1170
PM2_5,20,cluster,18.85,1397
PM2_5,40,random,12.55,289
PM2_5,40,flow,13.61,150
PM2_5,40,cluster,13.34,296
PM2_5,60,random,10.13,194
PM2_5,60,flow,9.58,132
PM2_5,60,cluster,14.47,160
PM2_5,80,random,4.31,103
PM2_5,80,flow,5.75,126
PM2_5,80,cluster,2.73,119
