code,output_MEUR,ghg_THS_T,true_GHG_intensity
A01,567308.3,449544.9,1.091430
A02,62390.3,5082.5,0.220915
A03,14387.7,5564.3,0.565232
B,119578.8,48292.7,0.588665
C10-12,1316956.0,58215.6,0.472300
C13-15,224458.3,7268.2,0.213866
C16,184300.8,4372.7,0.223984
C17,230011.0,28684.6,0.425590
C18,70468.8,2565.1,0.220282
C19,568857.8,129650.6,0.701561
C20,675691.1,130898.1,0.530959
C21,389015.9,5601.7,0.136575
C22,355234.7,7421.0,0.285629
C23,265076.7,175373.4,1.008224
C24,521090.2,151578.5,0.771117
C25,627556.2,11431.6,0.276838
C26,416504.7,2855.9,0.113335
C27,373895.0,3388.0,0.223969
C28,760304.4,8357.8,0.189770
C29,1018876.4,9979.0,0.204481
C30,255169.5,1678.6,0.170456
C31_32,278611.6,2821.5,0.184836
C33,234917.5,2898.9,0.155304
D,1125842.2,750729.5,1.180553
E36,67969.4,4819.9,0.285732
E37-39,282273.5,142062.7,0.750272
F,2252706.8,54866.6,0.219156
G45,388317.5,15177.7,0.139727
G46,1735177.0,36310.6,0.125629
G47,1084684.5,26757.1,0.117039
H49,755553.5,176800.6,0.410995
H50,260361.9,129865.8,0.730383
H51,151978.1,120030.0,1.063633
H52,714576.5,21529.6,0.177570
H53,141539.0,7279.4,0.181134
I,772460.8,14329.3,0.192759
J58,221371.0,616.3,0.084962
J59_60,161613.0,992.9,0.095806
J61,327967.0,1595.5,0.099790
J62_63,1007009.0,3584.8,0.064723
K64,767407.7,3560.9,0.043925
K65,373458.3,742.2,0.054749
K66,293270.2,1710.1,0.066952
L68A,0.0,0.0,0.000000
L68B,2017548.2,5355.7,0.046665
M69_70,1062605.7,9417.4,0.070381
M71,424884.8,5278.9,0.087328
M72,232905.3,1639.8,0.071736
M73,163321.8,1446.1,0.093203
M74_75,155425.3,1706.8,0.098719
N77,339853.6,10612.6,0.103182
N78,217881.0,3754.1,0.048384
N79,109141.9,1004.4,0.257783
N80-82,587577.8,10864.9,0.109782
O,1356163.4,23864.3,0.083081
P,887294.7,13540.0,0.059435
Q86,1186258.4,16994.7,0.085090
Q87_88,507989.5,10604.8,0.085406
R90-92,212649.6,2075.8,0.100390
R93,159920.1,3360.5,0.139663
S94,165356.9,2151.8,0.093688
S95,30117.0,922.2,0.121827
S96,178131.8,3771.2,0.113764
T,44158.2,247.1,0.005596
